0	w	501
1	T	2
1	r	2
1	w	353
2	T	1
2	r	6
2	w	595
3	T	5
3	w	16
4	r	66
4	w	69
5	T	10
5	r	922
5	w	4
6	T	339
6	r	3
6	w	7
7	T	1056
7	r	494
7	w	46
8	T	70
8	r	3
8	w	3
9	T	4
9	r	1
9	w	2
10	T	10
10	r	2
10	w	1
11	T	2
11	r	22
12	r	3
12	w	4
13	T	21
13	r	3
13	w	1
14	r	4
14	w	3
15	T	3
15	r	7
15	w	8
16	r	6
16	w	3
17	T	3
17	r	3
17	w	2
18	T	1
18	r	2
19	T	4
19	r	1
20	w	4
21	T	7
21	r	2
22	r	1
22	w	4
23	T	4
23	r	3
24	r	8
25	T	3
25	r	3
25	w	2
26	r	6
27	T	2
27	w	1
28	T	2
29	T	1
29	w	1
30	w	1
31	r	3
33	T	2
33	r	2
34	w	3
35	T	1
35	r	1
37	T	3
37	r	2
37	w	2
38	T	3
38	r	1
38	w	2
39	T	8
39	r	1
39	w	1
40	T	2
40	r	1
40	w	1
41	T	3
41	r	1
41	w	1
42	T	1
42	w	2
43	T	2
43	r	3
43	w	2
44	T	2
45	r	6
46	r	2
47	r	1
48	T	5
48	r	1
49	r	3
50	T	3
51	r	1
52	T	3
53	r	2
53	w	1
54	T	1
54	w	3
55	w	1
56	T	1
56	r	1
56	w	3
57	r	1
57	w	2
58	w	2
59	w	1
63	T	1
63	r	2
64	T	1
64	r	4
65	T	1
65	r	5
66	r	1
67	r	3
68	r	2
69	T	2
69	r	2
70	T	2
70	r	1
72	T	2
73	r	1
75	r	1
79	T	3
79	r	1
80	T	2
82	T	1
83	T	2
84	T	4
84	r	1
86	w	1
87	T	3
87	r	1
89	r	1
91	T	1
93	r	1
94	T	1
95	T	2
96	T	1
97	r	2
98	T	1
99	r	2
100	T	3
100	r	1
101	r	1
108	T	1
109	r	1
113	r	1
114	T	1
114	r	1
115	r	1
116	T	1
119	T	3
119	r	2
120	T	1
121	T	1
121	r	2
122	T	1
122	w	3
123	T	3
123	r	3
124	r	1
125	T	3
125	r	1
126	T	2
127	T	2
128	T	2
128	w	1
129	T	1
130	T	3
132	T	1
133	r	1
143	w	1
149	T	1
153	T	1
183	T	1
184	r	2
185	T	1
192	r	2
199	w	1
200	r	1
206	r	1
209	T	1
210	r	1
220	r	1
238	r	1
239	T	1
249	T	1
255	T	1
280	r	1
280	w	2
290	r	1
297	T	1
314	T	2
322	r	1
323	T	1
324	T	1
328	T	1
337	w	1
340	r	1
342	w	1
363	T	1
409	T	1
460	w	2
470	w	1
500	w	2
618	r	2
677	T	1
750	r	1
898	T	2
962	w	1
996	r	2
1017	r	1
1080	r	2
1092	T	1
1312	r	1
1456	T	2
1487	T	1
1580	T	2
2274	T	1
