17	W	2
18	R	2
18	W	2
20	R	1
20	W	1
21	W	1
21	r	16
21	w	15
22	R	114
22	W	30
22	r	19
22	w	4
24	R	742764
24	W	297941
24	r	496
24	w	1
25	R	3
25	W	2
26	R	55
26	W	51
26	r	6
28	R	655519
28	W	312943
28	r	855
28	w	212
29	R	14167
29	W	3248
29	r	3535
29	w	728
30	R	45
30	W	55
30	r	30
31	W	11
31	r	11
32	R	49892
32	W	29613
32	r	308
33	R	444
33	W	424
34	R	78
34	W	47
34	r	91
35	R	22
35	W	16
35	r	80
35	w	15
36	R	2959853
36	W	2191
36	r	3028
36	w	480
37	R	898722
37	W	179950
38	R	27
38	W	45
38	r	18
40	R	395976
40	W	122625
40	r	1014
40	w	134
41	R	229
41	W	54
42	R	91
42	W	44
42	r	22
44	R	830098
44	W	235602
44	r	36
45	R	46601
45	W	13798
45	r	25
45	w	25
46	R	40
46	W	130
46	r	117
46	w	26
48	R	1025197
48	W	33201
48	r	171
49	R	2
49	W	10
50	R	120
50	W	90
50	r	60
50	w	15
51	r	31
51	w	31
52	R	337823
52	W	1681
52	r	32
52	w	32
53	R	6
53	W	12
53	r	4
54	R	52
54	W	34
54	r	34
55	R	14
55	W	7
55	r	626
55	w	23
56	R	1029339
56	W	196004
56	r	20
58	R	178
58	W	122
58	r	6
58	w	39
59	r	78
59	w	78
60	R	13983
60	W	120
60	r	79
60	w	19
61	r	41
61	w	41
62	R	64
62	W	152
62	r	31
62	w	5
64	R	11138
64	W	1620
64	r	106
64	w	55
65	r	90
65	w	90
66	R	125
66	W	145
66	r	92
66	w	47
67	r	47
67	w	47
68	R	132
68	W	128
68	r	105
68	w	84
69	r	49
69	w	49
70	R	198
70	W	184
70	r	75
70	w	26
72	R	3973
72	W	526
72	r	450
72	w	126
74	R	155
74	W	135
76	R	16556
76	W	210
76	r	28
78	R	292
78	W	316
78	r	112
78	w	28
80	R	285
80	W	268
80	r	71
80	w	15
82	R	293
82	W	297
82	r	87
82	w	103
84	R	119687
84	W	288
84	r	94
84	w	78
86	R	256
86	W	340
86	r	38
88	R	2722
88	W	2377
88	r	53
88	w	31
90	R	420
90	W	280
92	R	1591897
92	W	891958
94	R	183
94	W	222
94	r	74
94	w	37
96	R	35013
96	W	2171
96	r	22
98	R	144
98	W	197
98	r	152
98	w	92
100	R	86
100	W	120
100	w	4
102	R	66
102	W	107
102	r	72
102	w	47
104	R	4360
104	W	129
104	r	80
104	w	80
106	R	141
106	W	129
108	R	6531
108	W	356
108	r	137
108	w	60
110	R	99
110	W	135
110	r	135
110	w	135
112	R	25714
112	W	115
112	r	46
112	w	46
114	R	181
114	W	109
114	r	169
114	w	107
116	R	3
116	W	496
116	r	343
116	w	84
118	r	98
118	w	98
120	R	4418
120	W	137
120	r	84
120	w	84
122	W	175
122	r	194
122	w	19
124	R	2113
124	W	286
126	W	37
126	r	38
126	w	1
128	R	1
128	W	54
130	R	60
130	W	110
132	R	1
132	W	56
138	R	1
138	W	59
140	R	257
140	W	60
140	r	38
140	w	70
142	R	2
142	W	122
144	R	1
144	W	62
146	R	1
146	W	63
148	R	6032500
148	W	360448
152	R	77
152	W	132
152	r	35
152	w	35
154	R	2
154	W	134
156	R	2
156	W	136
157	R	185102
157	W	727
158	R	75
158	W	207
160	R	38
160	W	107
160	r	37
162	R	1
162	W	71
164	R	331338
164	W	37296
172	R	2
172	W	152
176	R	13086
176	W	426
176	r	46
176	w	46
180	R	3390592
180	W	272381
186	r	83
186	w	83
196	R	21787
196	W	396
204	R	98
204	W	32
204	r	49
204	w	16
212	R	198
212	r	48
212	w	48
216	r	214
216	w	214
228	r	208
228	w	208
260	R	268
268	R	1146
276	R	234061
276	W	255
276	r	1005
276	w	358
292	R	2049
292	W	34
338	r	318
338	w	318
356	r	155
356	w	155
396	R	270
396	W	75
396	r	36
396	w	24
420	R	1
420	W	1
532	R	69188
532	W	768
532	r	201
532	w	927
656	r	318
656	w	318
696	r	318
696	w	318
706	R	4
780	R	606
780	W	190
812	R	6528
812	W	6528
860	R	210
860	W	105
1036	R	2674
1044	R	360280
1044	W	384
1076	R	6452
1220	R	210
1220	W	105
1548	R	869
1548	W	354
1548	r	8
2068	R	39745
2068	W	7149
2324	R	651456
2324	W	503750
3084	R	814
3084	W	263
4116	R	31559
4116	W	389142
4116	r	208
4116	w	208
4628	R	179712
4628	W	179712
6156	R	1630
6156	W	523
8212	R	5637
10722	R	2170
12300	R	690
12300	W	542
16404	R	11274
16404	W	5637
