0	w	89
1	T	2
1	r	2
1	w	86
2	T	1
2	r	3
2	w	159
3	T	2
3	w	4
4	T	1
4	r	41
4	w	42
5	T	4
5	r	215
5	w	2
6	T	77
6	r	3
6	w	5
7	T	211
7	r	79
7	w	37
8	T	43
8	r	3
8	w	1
9	T	4
9	r	1
9	w	2
10	T	2
10	r	1
10	w	4
11	T	1
11	r	25
11	w	1
12	w	2
13	T	24
13	r	2
13	w	2
14	r	6
14	w	12
15	r	6
16	r	4
17	T	2
17	r	1
17	w	2
18	T	1
18	r	2
19	T	2
21	T	5
21	r	3
22	r	2
23	T	3
23	r	12
24	T	4
25	T	1
25	w	1
26	T	1
27	T	2
27	w	1
28	T	1
29	w	1
30	w	1
31	r	3
33	T	1
33	r	2
33	w	3
35	T	2
35	r	1
37	T	12
37	r	2
37	w	4
38	T	5
38	r	1
39	r	1
39	w	1
40	T	2
40	r	1
40	w	1
41	r	1
41	w	1
42	T	1
43	r	3
43	w	1
44	T	2
44	r	3
45	r	3
46	r	2
47	r	1
48	T	1
48	r	3
49	r	1
50	T	3
50	w	1
51	r	1
52	T	3
52	r	1
54	T	1
54	w	1
55	w	1
56	T	1
56	r	1
56	w	1
57	r	1
57	w	1
63	T	1
63	r	2
64	T	1
65	T	1
65	r	3
66	r	1
67	r	1
68	r	1
69	T	2
70	T	2
72	T	2
73	r	1
75	r	1
75	w	1
77	T	3
77	r	1
78	T	1
78	r	1
79	r	1
80	T	2
82	T	1
83	T	2
85	T	2
85	r	1
86	w	1
87	T	1
87	r	2
90	w	2
91	T	1
92	T	1
93	T	1
93	r	2
94	T	4
96	r	1
97	r	1
107	r	1
114	T	2
114	r	1
119	T	1
119	r	2
119	w	1
121	T	1
121	r	2
122	w	2
123	T	1
124	r	1
125	T	1
126	T	2
128	T	2
128	w	1
133	r	1
140	w	1
146	T	1
149	T	1
153	T	1
160	w	1
178	r	1
179	T	1
183	T	1
188	r	1
192	r	1
200	r	1
200	w	1
206	r	1
211	r	1
216	r	1
219	r	2
249	T	1
255	T	1
307	T	1
309	T	2
314	T	1
328	T	1
356	T	1
366	r	1
411	T	1
412	w	1
526	T	1
897	r	1
965	w	1
1309	T	1
1316	r	1
2281	T	1
