1168	w	583
1220	R	15081
1220	W	1599
1300	R	15435
1300	W	1440
1300	r	17988
1300	w	2198
1344	r	1324
1344	w	1324
1380	R	16425
1380	W	1530
1460	R	17055
1460	W	1620
1540	R	16360
1540	W	1520
1548	R	869
1548	W	354
1548	r	8
1620	R	17240
1620	W	1600
1628	r	778
1628	w	136
1700	R	18120
1700	W	1680
1780	R	19000
1780	W	1760
1860	R	19880
1860	W	1840
1940	R	20280
1940	W	1920
2020	R	18935
2020	W	1750
2100	R	18155
2100	W	1816
2180	R	17550
2180	W	1620
2260	R	15446
2260	W	1672
2320	r	1150
2320	w	1172
2340	R	14568
2340	W	1448
2420	R	13020
2420	W	1200
2500	R	7332
2500	W	1224
2580	R	6950
2580	W	640
2580	r	1128
2580	w	1296
2660	R	7170
2660	W	660
2740	R	7390
2740	W	680
2820	R	7610
2820	W	700
2900	R	7830
2900	W	720
2980	R	8050
2980	W	740
3060	R	8270
3060	W	760
3084	R	814
3084	W	263
3140	R	8490
3140	W	780
3220	R	8710
3220	W	800
3244	r	17509
3244	w	180
3300	R	8930
3300	W	820
3380	R	9150
3380	W	840
3460	R	9370
3460	W	860
3540	R	5226
3540	W	872
3620	R	4905
3620	W	450
3700	R	5015
3700	W	460
3780	R	5125
3780	W	470
3860	R	5235
3860	W	480
3940	R	5345
3940	W	490
4020	R	5455
4020	W	500
4100	R	5565
4100	W	510
4116	R	2170
4116	r	1324
4116	w	1324
4180	R	5675
4180	W	520
4260	R	5785
4260	W	530
4340	R	5895
4340	W	540
4420	R	6005
4420	W	550
4500	R	6115
4500	W	560
4580	R	6225
4580	W	570
4624	r	2300
4624	w	2364
4660	R	6335
4660	W	580
4740	R	6445
4740	W	590
4820	R	6555
4820	W	600
4900	R	6665
4900	W	610
4980	R	6775
4980	W	620
5060	R	6885
5060	W	630
5140	R	6995
5140	W	640
5140	r	1606
5140	w	1932
5220	R	7105
5220	W	650
5300	R	7215
5300	W	660
5380	R	7325
5380	W	670
5460	R	7435
5460	W	680
5540	R	7545
5540	W	690
5620	R	7655
5620	W	700
5700	R	7765
5700	W	710
5780	R	7875
5780	W	720
